ticker,reason
MLPA,etf/fund
MLPX,etf/fund
MOAT,etf/fund
MORL,etf/fund
MRAL,etf/fund
MRRL,etf/fund
MSFU,etf/fund
MSOS,etf/fund
MSOX,etf/fund
MST,etf/fund
MSTU,etf/fund
MSTW,etf/fund
MSTX,etf/fund
MSTY,etf/fund
MSTZ,etf/fund
MTBA,etf/fund
MTUM,etf/fund
MUB,etf/fund
MUU,etf/fund
MVLL,etf/fund
NAIL,etf/fund
NBIL,etf/fund
NEAR,etf/fund
NEBX,etf/fund
NFX,etf/fund
NMRK,etf/fund
NOBL,etf/fund
NUGT,etf/fund
NVD,etf/fund
NVDD,etf/fund
NVDL,etf/fund
NVDQ,etf/fund
NVDS,etf/fund
NVDU,etf/fund
NVDX,etf/fund
NVDY,etf/fund
NVOX,etf/fund
NVYY,etf/fund
OAKM,etf/fund
OIH,etf/fund
OILD,leveraged/inverse ETP (incl. delisted ETNs)
OILK,leveraged/inverse ETP (incl. delisted ETNs)
OILU,leveraged/inverse ETP (incl. delisted ETNs)
OKLL,etf/fund
OMAH,etf/fund
OMFL,etf/fund
ONCE,etf/fund
ONEQ,etf/fund
ONTX,etf/fund
OUNZ,etf/fund
PAAA,etf/fund
PAVE,etf/fund
PBW,etf/fund
PCEF,etf/fund
PCI,etf/fund
PCL,etf/fund
PCY,etf/fund
PDBC,etf/fund
PEY,etf/fund
PFF,etf/fund
PFFA,etf/fund
PFFD,etf/fund
PFLT,etf/fund
PFXF,etf/fund
PGF,etf/fund
PGX,etf/fund
PICK,etf/fund
PINC,etf/fund
PK,etf/fund
PLTD,etf/fund
PLTU,etf/fund
PLTY,etf/fund
PLTZ,etf/fund
PSQ,etf/fund
PTIR,etf/fund
PTLC,etf/fund
PULS,etf/fund
PXH,etf/fund
PYLD,etf/fund
PZA,etf/fund
QBTX,etf/fund
QBTZ,etf/fund
QDTE,etf/fund
QID,etf/fund
QLD,etf/fund
QLTY,etf/fund
QPUX,etf/fund
QQQ,etf/fund
QQQI,etf/fund
QQQM,etf/fund
QQQY,etf/fund
QUAL,etf/fund
QUBX,etf/fund
QYLD,etf/fund
RDTL,etf/fund
RDVI,etf/fund
RDVY,etf/fund
REET,etf/fund
REM,etf/fund
REML,etf/fund
RGTX,etf/fund
RIOX,etf/fund
RKLX,etf/fund
ROBN,etf/fund
RODM,etf/fund
RSP,etf/fund
RSPT,etf/fund
RWM,etf/fund
RYLD,etf/fund
SARK,etf/fund
SBIT,etf/fund
SCHA,etf/fund
SCHB,etf/fund
SCHC,etf/fund
SCHD,etf/fund
SCHE,etf/fund
SCHF,etf/fund
SCHG,etf/fund
SCHH,etf/fund
SCHK,etf/fund
SCHM,etf/fund
SCHO,etf/fund
SCHP,etf/fund
SCHR,etf/fund
SCHV,etf/fund
SCHX,etf/fund
SCHY,etf/fund
SCHZ,etf/fund
SCO,etf/fund
SCYB,etf/fund
SCZ,etf/fund
SDIV,etf/fund
SDOW,etf/fund
SDS,etf/fund
SDVY,etf/fund
SDY,etf/fund
SEMG,etf/fund
SGOL,etf/fund
SGOV,etf/fund
SH,etf/fund
SHM,etf/fund
SHV,etf/fund
SHY,etf/fund
SHYG,etf/fund
SHYM,etf/fund
SIL,etf/fund
SILJ,etf/fund
SIVR,etf/fund
SJNK,etf/fund
SKYY,etf/fund
SLON,etf/fund
SLQD,etf/fund
SLV,etf/fund
SLYV,etf/fund
SMBS,etf/fund
SMCL,etf/fund
SMCX,etf/fund
SMCY,etf/fund
SMCZ,etf/fund
SMH,etf/fund
SMST,etf/fund
SMTH,etf/fund
SMU,etf/fund
SMUP,etf/fund
SOFX,etf/fund
SOLT,etf/fund
SOLZ,etf/fund
SOUX,etf/fund
SOXL,etf/fund
SOXS,etf/fund
SOXX,etf/fund
SPAB,etf/fund
SPBO,etf/fund
SPDN,etf/fund
SPDW,etf/fund
SPEM,etf/fund
SPGP,etf/fund
SPHD,etf/fund
SPHQ,etf/fund
SPHY,etf/fund
SPIB,etf/fund
SPIP,etf/fund
SPLB,etf/fund
SPLS,etf/fund
SPLV,etf/fund
SPMB,etf/fund
SPMD,etf/fund
SPSB,etf/fund
SPSM,etf/fund
SPTI,etf/fund
SPTL,etf/fund
SPTM,etf/fund
SPTS,etf/fund
SPXL,etf/fund
SPXS,etf/fund
SPXU,etf/fund
SPY,etf/fund
SPYD,etf/fund
SPYG,etf/fund
SPYI,etf/fund
SPYU,etf/fund
SPYV,etf/fund
SQQQ,etf/fund
SRLN,etf/fund
SRTY,etf/fund
SSK,etf/fund
SSO,etf/fund
STIP,etf/fund
SUB,etf/fund
SUSC,etf/fund
SVIX,etf/fund
SVOL,etf/fund
SVXY,etf/fund
TAFI,etf/fund
TAN,etf/fund
TBF,etf/fund
TBLL,etf/fund
TBT,etf/fund
TCAF,etf/fund
TDTT,etf/fund
TECL,etf/fund
TECS,etf/fund
TEMT,etf/fund
TFI,etf/fund
TFLO,etf/fund
THRO,etf/fund
TIP,etf/fund
TIPX,etf/fund
TLH,etf/fund
TLT,etf/fund
TLTW,etf/fund
TMF,etf/fund
TMV,etf/fund
TNA,etf/fund
TOPT,etf/fund
TOT,etf/fund
TOTL,etf/fund
TQQQ,etf/fund
TRIL,etf/fund
TSDD,etf/fund
TSLG,etf/fund
TSLL,etf/fund
TSLQ,etf/fund
TSLR,etf/fund
TSLS,etf/fund
TSLT,etf/fund
TSLY,etf/fund
TSLZ,etf/fund
TSMX,etf/fund
TSYY,etf/fund
TUA,etf/fund
TUR,etf/fund
TVIX,leveraged/inverse ETP (incl. delisted ETNs)
TWM,etf/fund
TZA,etf/fund
UCO,etf/fund
UCON,etf/fund
UCTT,etf/fund
UDOW,etf/fund
UGAZ,leveraged/inverse ETP (incl. delisted ETNs)
UGLD,leveraged/inverse ETP (incl. delisted ETNs)
ULTY,etf/fund
UN,etf/fund
UNG,etf/fund
UNHG,etf/fund
