ticker,as_of,book_value_per_share,earnings_per_share,return_on_equity
BX,2022-05-05,13.659825875087705,6.807865168539325,0.5166219174617577
BX,2022-08-05,12.217196742024438,3.2647222222222223,0.27898285172020576
BX,2022-11-04,10.698507099614506,2.1604779411764707,0.21047244222881
BX,2023-02-24,10.778769170288811,2.3664835164835165,0.22889923668991632
BX,2023-05-05,9.94793358305526,0.4921348314606741,0.049631040450870335
BX,2023-08-04,10.117620617116211,1.8452777777777778,0.1929867650835614
BX,2023-11-03,9.928170168210022,2.2007352941176466,0.23311051310424563
BX,2024-02-23,9.476223131890606,1.8450549450549452,0.2045976863185764
BX,2024-05-03,9.62954468165634,4.542222222222223,0.4941175269601965
BX,2024-08-02,9.457699596033281,3.408011049723757,0.381207759063049
BX,2024-11-01,9.590334398866892,3.623260073260073,0.3954396459373515
BXLT,2016-03-03,5.776640965717756,1.4138736263736262,0.24429826035330623
BXLT,2016-05-09,6.18065969877644,0.8516666666666666,0.13934965771458663
BXP,2016-02-29,37.17564958960858,3.7402472527472526,0.10241082341079977
BXP,2016-05-06,37.43227286024073,4.785555555555555,0.1300401249925432
BXP,2016-08-04,37.305349675448035,3.6500000000000004,0.09973306554525457
BXP,2016-11-07,37.23625443455578,3.088461538461538,0.08473894300496122
BXP,2017-02-28,37.62460768381335,3.27,0.08862061128926195
BXP,2017-05-08,37.54021363941689,2.583707865168539,0.07080122846855418
BXP,2017-08-08,37.68042970865019,3.0416666666666665,0.08231048509167872
BXP,2017-11-07,37.747099955103046,3.0327205882352937,0.0820000648347359
BXP,2018-02-28,37.67339203246317,2.9380494505494505,0.07975797495805126
BXP,2018-05-08,38.085904950511136,4.675280898876403,0.12462082606898564
BXP,2018-08-07,38.16321254094958,3.994722222222222,0.10665031160225327
BXP,2018-11-07,38.050744016266385,3.6768382352941176,0.09858082559460345
BXP,2019-02-28,38.089013152130114,3.7201923076923076,0.09934238321850207
BXP,2019-05-08,37.773676613876745,2.583707865168539,0.07077834797056803
BXP,2019-08-07,36.980701671867024,3.447222222222222,0.09496353096087902
BXP,2019-11-08,36.69455866067087,3.2205882352941173,0.08944770892732494
BXP,2020-03-02,36.72508596113692,3.3190934065934066,0.09199570455053827
BXP,2020-05-11,38.9394670705524,13.018333333333333,0.3353692856290136
BXP,2020-08-07,39.72481807650609,9.921546961325967,0.25100307798408966
BXP,2020-11-06,39.38392264529548,7.353479853479853,0.1881122834377615
BXP,2021-02-26,38.505832547863115,5.55,0.1455495195780312
BXP,2021-05-07,37.0057382962719,2.4196629213483143,0.07143044888238087
BXP,2021-08-06,36.82266427812443,2.636111111111111,0.07489316941737757
BXP,2021-11-05,36.59782614283295,2.7675824175824175,0.07526681646616537
BXP,2022-02-25,37.267403158056005,5.55,0.08683256114165676
BXP,2022-08-05,37.835028846123784,4.724722222222222,0.12517492542920264
BXP,2022-11-04,39.26910981789179,6.226470588235293,0.1585158611589111
BXP,2023-02-27,39.12351652501115,5.43489010989011,0.13880491034987125
BXP,2023-05-03,38.658388078086666,2.050561797752809,0.05268806521719014
BXP,2023-08-07,38.50762559179463,2.3522222222222218,0.06117356734309203
BXP,2023-11-07,36.881057999665856,0.6038602941176471,0.016296065198300794
BXP,2024-02-27,37.445294841179226,1.2133241758241757,0.03245659401553605
BXP,2024-05-10,37.298503154785834,2.0683333333333334,0.05530669029672648
BXP,2024-08-05,36.93788509798807,2.0569060773480663,0.05542775500428384
BXP,2024-11-05,36.4553280063518,2.072344322344322,0.05644153067349551
CAG,2016-01-06,7.9096211645503995,-4.65828729281768,-0.5868021800823726
CAG,2016-04-07,8.371620368722686,-2.4691176470588236,-0.29185249438491695
CAG,2016-07-15,8.464622470976927,-1.578650137741047,-0.1833073103048819
CAG,2016-10-04,8.493736103194212,1.7033333333333331,0.20308862771816272
CAG,2017-01-04,10.217309749967837,1.4116022099447514,0.1398137820746579
CAG,2017-04-04,9.920762081483758,1.5029411764705882,0.1551306330221663
CAG,2017-07-21,9.579534619064601,1.488154269972452,0.16107605343529788
CAG,2017-10-03,9.287190571534854,1.5005555555555554,0.1630218309405404
CAG,2018-01-04,9.229002580257106,1.835082872928177,0.20505504616353276
CAG,2018-04-03,9.454420811571701,2.428860294117647,0.26647074634181045
CAG,2018-07-20,9.404735838361464,2.0110192837465566,0.2211125603858218
CAG,2018-10-02,9.538215509466188,1.825,0.19341629867523083
CAG,2019-01-03,14.875361291352597,1.532596685082873,0.08647925784939775
CAG,2019-04-02,15.173445800595658,1.7176470588235293,0.10042952824694233
CAG,2019-07-19,15.190592660933582,1.5384297520661159,0.09235939523909822
CAG,2019-10-01,15.288269819820073,1.46,0.09473737658842697
CAG,2020-01-02,15.636573566165428,1.7947513812154696,0.11505344682038289
